
rushi,check-in,2024-03-18,19:07:47
rushi,check-out,2024-03-18,19:07:47
virat,THEGOAT007
rushi,check-in,2024-03-19,17:49:52
rushi,check-out,2024-03-19,17:49:56
jake_smith,check-in,2024-03-19,18:06:33
jake_smith,check-out,2024-03-19,18:06:34
Viraj_Sharma,check-in,2024-03-19,23:19:50
Viraj_Sharma,check-out,2024-03-19,23:19:52
rushi,check-in,2024-03-26,23:23:30
rushi,check-in,2024-03-26,23:24
rushi,check-out,2024-03-26,23:25 PM
rushi,check-in,27-03-2024,10:47:34
rushi,check-in,2024-03-27,15:48
omkar,check-in,16-6-2024,15:56
